Brand,Model,Variant,Engine Type,Displacement,Max Power,Max Torque,Turbo Charger,Transmission Type,Gearbox,Drive Type
Jaguar,XF,2.2 Litre Executive,Diesel Engine,2179 cc,187.7bhp@3500rpm,450Nm@2000rpm,Yes,Automatic,8 Speed,RWD
Jaguar,XF,2.2 Litre Luxury,Diesel Engine,2179 cc,187.7bhp@3500rpm,450Nm@2000rpm,Yes,Automatic,8 Speed,RWD
Jaguar,XF,3.0 Litre S Premium Luxury,Diesel S Engine,2993 cc,270.9bhp@4000rpm,600Nm@2000rpm,Yes,Automatic,8 Speed,RWD
Jaguar,XF,Aero Sport Edition,Diesel Engine,2179 cc,187.7bhp@3500rpm,450Nm@2000rpm,Yes,Automatic,8 Speed,RWD
Jaguar,XF,R Supercharged 5.0 Litre V8 Petrol,V Type Engine,5000 cc,502.9bhp@6000-6500rpm,625Nm@2500-5500rpm,No,Automatic,8 Speed,RWD
Jeep,Compass,2.0 Limited Opt FWD AT,2.0 L Multijet II Diesel,1956 cc,168bhp@3700-3800rpm,350Nm@1750-2500rpm,Yes,Automatic,9-Speed AT,FWD
Jeep,Compass,2.0 Limited Opt,2.0 L Multijet II Diesel,1956 cc,168bhp@3700-3800rpm,350Nm@1750-2500rpm,Yes,Manual,6-Speed,FWD
Jeep,Compass,2.0 Longitude Opt,2.0 L Multijet II Diesel,1956 cc,168bhp@3700-3800rpm,350Nm@1750-2500rpm,Yes,Manual,6 Speed,FWD
Jeep,Compass,2.0 Longitude Opt AT,2.0 L Multijet II Diesel,1956 cc,168bhp@3700-3800rpm,350Nm@1750-2500rpm,Yes,Automatic,9-Speed AT,FWD
Jeep,Compass,2.0 Model S Opt,2.0 L Multijet II Diesel,1956 cc,168bhp@3700-3800rpm,350Nm@1750-2500rpm,Yes,Manual,6-Speed,FWD
Jeep,Compass,2.0 Model S Opt FWD AT,2.0 L Multijet II Diesel,1956 cc,168bhp@3700-3800rpm,350Nm@1750-2500rpm,Yes,Automatic,9-Speed AT,FWD
Jeep,Compass,2.0 Model S Opt 4x4 AT,2.0 L Multijet II Diesel,1956 cc,168bhp@3700-3800rpm,350Nm@1750-2500rpm,Yes,Automatic,9-Speed AT,4WD
Jeep,Compass,2.0 Sport,2.0 L Multijet II Diesel,1956 cc,168bhp@3700-3800rpm,350Nm@1750-2500rpm,Yes,Manual,6-Speed,FWD
Jeep,Compass,Track Edition,2.0 L Multijet II Diesel,1956 cc,168bhp@3700-3800rpm,350Nm@1750-2500rpm,Yes,Manual,6-Speed,FWD
Jeep,Compass,Track Edition AT,2.0 L Multijet II Diesel,1956 cc,168bhp@3700-3800rpm,350Nm@1750-2500rpm,Yes,Automatic,9-Speed AT,FWD
Jeep,Compass,Trail Edition,2.0 L Multijet II Diesel,1956 cc,168bhp@3700-3800rpm,350Nm@1750-2500rpm,Yes,Manual,6 Speed,FWD
Jeep,Compass,Track Edition AT 4X4,2.0 L Multijet II Diesel,1956 cc,168bhp@3700-3800rpm,350Nm@1750-2500rpm,Yes,Automatic,9-Speed AT,4WD
Jeep,Compass,Trail Edition AT,2.0 L Multijet II Diesel,1956 cc,168bhp@3700-3800rpm,350Nm@1750-2500rpm,Yes,Automatic,9-Speed AT,FWD
Jeep,Compass 2017-2021,1.4 Limited,1.4-Litre 4-Cyl Multiair,1368 cc,160bhp@3750rpm,250Nm@1750-2500rpm,Yes,Automatic,7 Speed,4X2
Jeep,Compass 2017-2021,1.4 Limited Option,1.4-Litre 4-Cyl Multiair,1368 cc,160bhp@3750rpm,250Nm@1750-2500rpm,Yes,Automatic,7 Speed,4X2
Jeep,Compass 2017-2021,1.4 Limited Option Black,1.4-Litre 4-Cyl Multiair,1368 cc,160bhp@3750rpm,250Nm@1750-2500rpm,Yes,Automatic,7 Speed,4X2
Jeep,Compass 2017-2021,1.4 Limited Plus,1.4-Litre 4-Cyl Multiair,1368 cc,160.77bhp@3750rpm,250Nm@1750-2500rpm,Yes,Automatic,7 Speed,4X2
Jeep,Compass 2017-2021,1.4 Limited Plus BSIV,1.4-Litre 4-Cyl Multiair,1368 cc,160.77bhp@3750rpm,250Nm@1750-2500rpm,Yes,Automatic,7 Speed,4X2
Jeep,Compass 2017-2021,1.4 Longitude Option,1.4-Litre 4-Cyl Multiair,1368 cc,160.77bhp@3750rpm,250Nm@1750-2500rpm,Yes,Automatic,7 Speed,4X2
Jeep,Compass 2017-2021,1.4 Longitude Option BSIV,1.4-Litre 4-Cyl Multiair Engine,1368 cc,160.77bhp@3750rpm,250Nm@1750-2500rpm,Yes,Automatic,7 Speed,4X2
Jeep,Compass 2017-2021,1.4 Longitude Plus AT,1.4-Litre 4-Cyl Multiair Engine,1368 cc,160.77bhp@3750rpm,250Nm@1750-2500rpm,Yes,Automatic,7 Speed,4X2
Jeep,Compass 2017-2021,1.4 Night Eagle,1.4 turbo petrol,1368 cc,159.74bhp@3750rpm,250Nm@1750-2500rpm,Yes,Automatic,7 Speed DCT,4X2
Jeep,Compass 2017-2021,1.4 Sport,1.4-Litre 4-Cyl Multiair,1368 cc,160bhp@3750rpm,250Nm@1750-2500rpm,Yes,Manual,6 Speed,4X2
Jeep,Compass 2017-2021,1.4 Sport Plus,1.4-Litre 4-Cyl Multiair,1368 cc,160bhp@3750rpm,250Nm@1750-2500rpm,Yes,Manual,6 Speed,4X2
Jeep,Compass 2017-2021,1.4 Sport Plus BSIV,1.4-Litre 4-Cyl Multiair,1368 cc,160bhp@3750rpm,250Nm@1750-2500rpm,Yes,Manual,6 Speed,4X2
Jeep,Compass 2017-2021,2.0 Bedrock,2.0-Litre 4-Cyl Multijet,1956 cc,170.63bhp@3750rpm,350Nm@1750-2500rpm,Yes,Manual,6 Speed,4X2
Jeep,Compass 2017-2021,2.0 Limited,2.0-Litre 4-Cyl Multijet,1956 cc,170bhp@3750rpm,350Nm@1750-2500rpm,Yes,Manual,6 Speed,4X2
Jeep,Compass 2017-2021,2.0 Limited 4X4,2.0-Litre 4-Cyl Multijet,1956 cc,170bhp@3750rpm,350Nm@1750-2500rpm,Yes,Manual,6 Speed,4X4
Jeep,Compass 2017-2021,2.0 Limited Option,2.0-Litre 4-Cyl Multijet,1956 cc,170bhp@3750rpm,350Nm@1750-2500rpm,Yes,Manual,6 Speed,4X2
Jeep,Compass 2017-2021,2.0 Limited Option 4X4 Black,2.0-Litre 4-Cyl Multijet,1956 cc,170bhp@3750rpm,350Nm@1750-2500rpm,Yes,Manual,6 Speed,4X2
Jeep,Compass 2017-2021,2.0 Limited Option 4X4,2.0-Litre 4-Cyl Multijet,1956 cc,170bhp@3750rpm,350Nm@1750-2500rpm,Yes,Manual,6 Speed,4X4
Jeep,Compass 2017-2021,2.0 Limited Option Black,2.0-Litre 4-Cyl Multijet,1956 cc,170bhp@3750rpm,350Nm@1750-2500rpm,Yes,Manual,6 Speed,4X2
Jeep,Compass 2017-2021,2.0 Limited Plus,2.0-Litre 4-Cyl Multijet,1956 cc,170.63bhp@3750rpm,350Nm@1750-2500rpm,Yes,Manual,6 Speed,4X2
Jeep,Compass 2017-2021,2.0 Limited Plus 4X4,2.0-Litre 4-Cyl Multijet,1956 cc,170.63bhp@3750rpm,350Nm@1750-2500rpm,Yes,Manual,6 Speed,4X4
Jeep,Compass 2017-2021,2.0 Limited Plus 4X4 AT,2.0-Litre 4-Cyl Multijet II Engine,1956 cc,170.63bhp@3750rpm,350Nm@1750-2500rpm,Yes,Automatic,6 Speed,4X4
Jeep,Compass 2017-2021,2.0 Limited Plus 4X4 BSIV,2.0-Litre 4-Cyl Multijet,1956 cc,170.63bhp@3750rpm,350Nm@1750-2500rpm,Yes,Manual,6 Speed,4X4
Jeep,Compass 2017-2021,2.0 Limited Plus AT,2.0-Litre 4-Cyl Multijet,1956 cc,173bhp,350Nm@1750-2500rpm,Yes,Automatic,6 Speed,4X4
Jeep,Compass 2017-2021,2.0 Limited Plus BSIV,2.0-Litre 4-Cyl Multijet,1956 cc,170.63bhp@3750rpm,350Nm@1750-2500rpm,Yes,Manual,6 Speed,4X2
Jeep,Compass 2017-2021,2.0 Longitude,2.0-Litre 4-Cyl Multijet II Engine,1956 cc,173bhp,350Nm@1750-2500rpm,Yes,Manual,9 Speed,AWD
Jeep,Compass 2017-2021,2.0 Longitude AT,2.0-Litre 4-Cyl Multijet II Engine,1956 cc,173bhp,350Nm@1750-2500rpm,Yes,Automatic,9 Speed,AWD
Jeep,Compass 2017-2021,2.0 Longitude BSIV,2.0-Litre 4-Cyl Multijet,1956 cc,170bhp@3750rpm,350Nm@1750-2500rpm,Yes,Manual,6 Speed,4X2
Jeep,Compass 2017-2021,2.0 Longitude Option,2.0-Litre 4-Cyl Multijet II Engine,1956 cc,170bhp@3750rpm,350Nm@1750-2500rpm,Yes,Manual,6 Speed,4X2
Jeep,Compass 2017-2021,2.0 Longitude Option AT,2.0-Litre 4-Cyl Multijet II Engine,1956 cc,170bhp@3750rpm,350Nm@1750-2500rpm,Yes,Automatic,9 Speed,4X4
Jeep,Compass 2017-2021,2.0 Night Eagle,2.0 turbo diesel,1956 cc,170.63bhp@3750rpm,350Nm@1750-2500rpm,Yes,Manual,6 Speed,4X2
Jeep,Compass 2017-2021,2.0 Longitude Option BSIV,2.0-Litre 4-Cyl Multijet,1956 cc,170bhp@3750rpm,350Nm@1750-2500rpm,Yes,Manual,6 Speed,4X2
Jeep,Compass 2017-2021,2.0 Sport,2.0-Litre 4-Cyl Multijet,1956 cc,170bhp@3750rpm,350Nm@1750-2500rpm,Yes,Manual,6 Speed,4X2
Jeep,Compass 2017-2021,2.0 Night Eagle AT,2.0 turbo diesel,1956 cc,170.63bhp@3750rpm,350Nm@1750-2500rpm,Yes,Automatic,9 Speed,4X2
Jeep,Compass 2017-2021,2.0 Sport Plus,2.0-Litre 4-Cyl Multijet,1956 cc,170bhp@3750rpm,350Nm@1750-2500rpm,Yes,Manual,6 Speed,4X2
Jeep,Compass 2017-2021,Black Pack Edition,1.4-Litre 4-Cyl Multiair,1368 cc,160bhp@3750rpm,250Nm@1750-2500rpm,Yes,Automatic,7 Speed,4X2
Jeep,Compass 2017-2021,2.0 Sport Plus BSIV,2.0-Litre 4-Cyl Multijet,1956 cc,170bhp@3750rpm,350Nm@1750-2500rpm,Yes,Manual,6 Speed,4X2
Jeep,Compass 2017-2021,Trailhawk,2.0-Litre 4-Cyl Multijet,1956 cc,170bhp@3750rpm,350Nm@1750-2500rpm,Yes,Manual,6 Speed,4X4
Jeep,Compass Trailhawk,2.0 4X4,2.0-litre muiltjet,1998 cc,167.67bhp@3750rpm,350Nm@1750-2500 rpm,Yes,Automatic,9 -speed,
Jeep,Grand Cherokee,Limited Opt,2.0L GME T4,1995 cc,268.27bhp@5200rpm,400Nm@3000rpm,,Automatic,8 Speed AT,4WD
Jeep,Grand Cherokee 2016-2020,Limited 4X4,3.0-Litre V6 EcoDiesel En,2998 cc,239.6bhp@3600rpm,570Nm@2000rpm,Yes,Automatic,8 Speed,4WD
Jeep,Grand Cherokee 2016-2020,SRT 4X4,6.4-Litre HEMI Petrol Eng,6417 cc,461.59bhp@6250rpm,624Nm@4100rpm,Yes,Automatic,8 Speed,4WD
Jeep,Grand Cherokee 2016-2020,Summit 4X4,3.0-Litre V6 EcoDiesel En,2998 cc,239.6bhp@3600rpm,570Nm@2000rpm,Yes,Automatic,8 Speed,4WD
Jeep,Grand Cherokee 2016-2020,Summit Petrol,3.6-Litre V6 Petrol Engin,3604 cc,285.6bhp@6350rpm,347Nm@4300rpm,Yes,Automatic,5 Speed,4WD
Jeep,Meridian,Limited Opt 4x2,2.0L Multijet,1956 cc,168bhp@3750rpm,350Nm@1750-2500rpm,Yes,Manual,6-Speed,FWD
Jeep,Meridian,Limited Opt 4x4 AT,2.0L Multijet,1956 cc,168bhp@3750rpm,350Nm@1750-2500rpm,Yes,Automatic,9-Speed AT,FWD
Jeep,Meridian,Limited Opt 4x2 AT,2.0L Multijet,1956 cc,168bhp@3750rpm,350Nm@1750-2500rpm,Yes,Automatic,9-Speed AT,FWD
Jeep,Meridian,Longitude 4x2,2.0L Multijet,1956 cc,168bhp@3750rpm,350Nm@1750-2500rpm,Yes,Manual,6-Speed,FWD
Jeep,Meridian,Longitude 4x2 AT,2.0L Multijet,1956 cc,168bhp@3750rpm,350Nm@1750-2500rpm,Yes,Automatic,9-Speed AT,FWD
Jeep,Meridian,Longitude Plus 4x2,2.0L Multijet,1956 cc,168bhp@3750rpm,350Nm@1750-2500rpm,Yes,Manual,6-Speed,FWD
Jeep,Meridian,Longitude Plus 4x2 AT,2.0L Multijet,1956 cc,168bhp@3750rpm,350Nm@1750-2500rpm,Yes,Automatic,9-Speed AT,FWD
Jeep,Meridian,Overland 4x2 AT,2.0L Multijet,1956 cc,168bhp@3750rpm,350Nm@1750-2500rpm,Yes,Automatic,9-Speed AT,FWD
Jeep,Meridian,Overland 4x4 AT,2.0L Multijet,1956 cc,168bhp@3750rpm,350Nm@1750-2500rpm,Yes,Automatic,9-Speed AT,4WD
Jeep,Meridian,Track Edition 4x4 AT,2.0L Multijet,1956 cc,172.36bhp,350Nm,Yes,Automatic,9-Speed AT,4WD
Jeep,Meridian,Trail Edition,2.0L Multijet,1956 cc,168bhp@3750rpm,350Nm@1750-2500rpm,Yes,Manual,6-Speed,FWD
Jeep,Trailhawk 2019-2021,4x4,Multijet II Turbo Diesel Engine,1956 cc,170hp@3750rpm,350Nm@1750-2500rpm,Yes,Automatic,9-Speed,
Jeep,Meridian,Trail Edition AT,2.0L Multijet,1956 cc,168bhp@3750rpm,350Nm@1750-2500rpm,Yes,Automatic,9-Speed AT,FWD
Jeep,Trailhawk 2019-2021,4x4 Opt,Multijet II Turbo Diesel Engine,1956 cc,170hp@3750rpm,350Nm@1750-2500rpm,Yes,Automatic,9-Speed,
Jeep,Wrangler,Rubicon,2.0L Gme T4 Di,1995 cc,268.20bhp@5250rpm,400Nm@3000rpm,,Automatic,8 Speed AT,4WD
Jeep,Wrangler,Unlimited,2.0L Gme T4 Di,1995 cc,268.20bhp@5250rpm,400Nm@3000rpm,,Automatic,8 Speed AT,4WD
Jeep,Wrangler,Willys 41 Special Edition,2.0L Gme T4 Di,1995 cc,268.20bhp@5250rpm,400Nm@3000rpm,,Automatic,8 Speed AT,4WD
Jeep,Wrangler 2023-2024,Rubicon,2.0L GME T4 DI TC,1998 cc,264.33bhp@5150+100rpm,400Nm@3000rpm,Yes,Automatic,8-Speed,4WD
Jeep,Wrangler 2023-2024,Rubicon BSVI,2.0L GME T4 DI TC,1998 cc,268bhp@5250rpm,400Nm@3000rpm,Yes,Automatic,8 Speed,4WD
Jeep,Wrangler 2023-2024,Unlimited,2.0L GME T4 DI TC,1998 cc,265.30bhp@5150-5250rpm,400Nm@3000rpm,Yes,Automatic,8-Speed,4WD
Jeep,Wrangler 2023-2024,Unlimited BSVI,2.0L GME T4 DI TC,1998 cc,268bhp@5250rpm,400Nm@3000rpm,Yes,Automatic,8 Speed,4WD
Kia,Carens,Premium Opt,Smartstream,1497 cc,113.42bhp@6300rpm,144Nm@4500rpm,No,Manual,6-Speed,FWD
Kia,Carens,Premium Opt CNG,Smartstream,1497 cc,113.42bhp@6300rpm,144Nm@4500rpm,No,Manual,6-Speed,FWD
Kia,Carens,Premium Opt Diesel,CRDi VGT,1493 cc,114.41bhp@4000rpm,250Nm@1500-2750rpm,Yes,Manual,6-Speed,FWD
Kia,Carens Clavis,HTE,Smartstream G1.5,1497 cc,113bhp@6300rpm,143.8Nm@4500rpm,No,Manual,6-Speed MT,FWD
Kia,Carens Clavis,HTE (O),Smartstream G1.5,1497 cc,113bhp@6300rpm,143.8Nm@4500rpm,No,Manual,6-Speed MT,FWD
Kia,Carens Clavis,HTE (O) Diesel,1.5l CRDi VGT,1493 cc,114bhp@4000rpm,250Nm@1500-2750rpm,Yes,Manual,6-Speed MT,FWD
Kia,Carens Clavis,HTE (O) Turbo,Smartstream G1.5 T-GDi,1482 cc,157.57bhp@5500rpm,253Nm@1500-3500rpm,Yes,Manual,6-Speed MT,FWD
Kia,Carens Clavis,HTE Diesel,1.5l CRDi VGT,1493 cc,114bhp@4000rpm,250Nm@1500-2750rpm,Yes,Manual,6-Speed MT,FWD
Kia,Carens Clavis,HTE EX,Smartstream G1.5,1497 cc,113bhp@6300rpm,143.8Nm@4500rpm,No,Manual,6-Speed MT,FWD
Kia,Carens Clavis,HTK,Smartstream G1.5,1497 cc,113bhp@6300rpm,143.8Nm@4500rpm,No,Manual,6-Speed MT,FWD
Kia,Carens Clavis,HTE EX Turbo,Smartstream G1.5 T-GDi,1482 cc,157.57bhp@5500rpm,253Nm@1500-3500rpm,Yes,Manual,6-Speed MT,FWD
Kia,Carens Clavis,HTE EX Diesel,1.5l CRDi VGT,1493 cc,114bhp@4000rpm,250Nm@1500-2750rpm,Yes,Manual,6-Speed MT,FWD
Kia,Carens Clavis,HTK Diesel,1.5l CRDi VGT,1493 cc,114bhp@4000rpm,250Nm@1500-2750rpm,Yes,Manual,6-Speed MT,FWD
Kia,Carens Clavis,HTK Plus (O) Diesel,1.5l CRDi VGT,1493 cc,114bhp@4000rpm,250Nm@1500-2750rpm,Yes,Manual,6-Speed MT,FWD
Kia,Carens Clavis,HTK Plus (O) Turbo,Smartstream G1.5 T-GDi,1482 cc,157.57bhp@5500rpm,253Nm@1500-3500rpm,Yes,Manual,6-Speed MT,FWD
Kia,Carens Clavis,HTK Plus (O) Turbo 6Str DCT,Smartstream G1.5 T-GDi,1482 cc,157.57bhp@5500rpm,253Nm@1500-3500rpm,Yes,Automatic,7-Speed DCT,FWD
Kia,Carens Clavis,HTK Plus (O) Turbo DCT,Smartstream G1.5 T-GDi,1482 cc,157.57bhp@5500rpm,253Nm@3500rpm,Yes,Automatic,7-Speed DCT,FWD
Kia,Carens Clavis,HTK Plus 6Str Diesel AT,1.5l CRDi VGT,1493 cc,114bhp@4000rpm,250Nm@1500-2750rpm,Yes,Automatic,6-Speed AT,FWD
Kia,Carens Clavis,HTK Plus Diesel,1.5l CRDi VGT,1493 cc,114bhp@4000rpm,250Nm@1500-2750rpm,Yes,Manual,6-Speed MT,FWD
Kia,Carens Clavis,HTK Plus Turbo,Smartstream G1.5 T-GDi,1482 cc,157.57bhp@5500rpm,253Nm@3500rpm,Yes,Manual,6-Speed MT,FWD
Kia,Carens Clavis,HTK Plus Diesel AT,1.5l CRDi VGT,1493 cc,114bhp@4000rpm,250Nm@1500-2750rpm,Yes,Automatic,6-Speed AT,FWD
Kia,Carens Clavis,HTK Plus Turbo DCT,Smartstream G1.5 T-GDi,1482 cc,157.57bhp@5500rpm,253Nm@3500rpm,Yes,Automatic,7-Speed DCT,FWD
Kia,Carens Clavis,HTK Plus Turbo 6Str DCT,Smartstream G1.5 T-GDi,1482 cc,157.57bhp@5500rpm,253Nm@3500rpm,Yes,Automatic,7-Speed DCT,FWD
Kia,Carens Clavis,HTK Turbo,Smartstream G1.5 T-GDi,1482 cc,157.57bhp@5500rpm,253Nm@3500rpm,Yes,Manual,6-Speed MT,FWD
Kia,Carens Clavis,HTX (O) Turbo 6Str DCT,Smartstream G1.5 T-GDi,1482 cc,157.57bhp@5500rpm,253Nm@3500rpm,Yes,Automatic,7-Speed DCT,FWD
Kia,Carens Clavis,HTX (O) Turbo DCT,Smartstream G1.5 T-GDi,1482 cc,157.57bhp@5500rpm,253Nm@3500rpm,Yes,Automatic,7-Speed DCT,FWD
Kia,Carens Clavis,HTX Diesel,1.5l CRDi VGT,1493 cc,114bhp@4000rpm,250Nm@1500-2750rpm,Yes,Manual,6-Speed MT,FWD
Kia,Carens Clavis,HTX Plus Turbo 6Str,Smartstream G1.5 T-GDi,1482 cc,157.57bhp@5500rpm,253Nm@3500rpm,Yes,Manual,6-Speed MT,FWD
Kia,Carens Clavis,HTX Plus Turbo,Smartstream G1.5 T-GDi,1482 cc,157.57bhp@5500rpm,253Nm@3500rpm,Yes,Manual,6-Speed MT,FWD
Kia,Carens Clavis,HTX Plus Turbo DCT,Smartstream G1.5 T-GDi,1482 cc,157.57bhp@5500rpm,253Nm@3500rpm,Yes,Automatic,7-Speed DCT,FWD
Kia,Carens Clavis,HTX Plus Turbo DCT 6Str,Smartstream G1.5 T-GDi,1482 cc,157.57bhp@5500rpm,253Nm@3500rpm,Yes,Automatic,7-Speed DCT,FWD
Kia,Carens Clavis,HTX Plus Turbo iMT 6Str,Smartstream G1.5 T-GDi,1482 cc,157.57bhp@5500rpm,253Nm@3500rpm,Yes,Manual,6-Speed iMT,FWD
Kia,Carens Clavis,HTX Turbo,Smartstream G1.5 T-GDi,1482 cc,157.57bhp@5500rpm,253Nm@3500rpm,Yes,Manual,6-Speed MT,FWD
Kia,Carens Clavis,HTX Plus Turbo iMT,Smartstream G1.5 T-GDi,1482 cc,157.57bhp@5500rpm,253Nm@3500rpm,Yes,Manual,6-Speed iMT,FWD
Kia,Carens Clavis,HTX Turbo iMT,Smartstream G1.5 T-GDi,1482 cc,157.57bhp@5500rpm,253Nm@3500rpm,Yes,Manual,6-Speed iMT,FWD
Kia,Carens Clavis EV,HTK Plus,,,133bhp,255Nm,,Automatic,Single Speed,FWD
Kia,Carens Clavis EV,HTX,,,133bhp,255Nm,,Automatic,Single Speed,FWD
Kia,Carens Clavis EV,HTX E,,,133bhp,255Nm,,Automatic,Single Speed,FWD
Kia,Carens Clavis EV,HTX ER,,,169bhp,255Nm,,Automatic,Single Speed,FWD
Kia,Carens Clavis EV,HTX E ER,,,169bhp,255Nm,,Automatic,Single Speed,FWD
Kia,Carens Clavis EV,HTX Plus ER,,,169bhp,255Nm,,Automatic,Single Speed,FWD
Kia,Carnival,Limousine Plus,Smartstream In-line,2151 cc,190bhp,441Nm,,Automatic,8 Speed,2WD
Kia,Carnival 2020-2023,Limousine,D2.2L VGT Diesel,2199 cc,197.26bhp@3800rpm,440Nm@1750-2750rpm,Yes,Automatic,8-Speed,2WD
Kia,Carnival 2020-2023,Limousine Plus,D2.2L VGT Diesel,2199 cc,197.26bhp@3800rpm,440Nm@1750-2750rpm,Yes,Automatic,8-Speed,2WD
Kia,Carnival 2020-2023,Premium,2.2L VGT Diesel Engine,2199 cc,197.2bhp@3800rpm,440nm@1750-2750rpm,Yes,Automatic,8 Speed,2WD
Kia,Carnival 2020-2023,Premium 8 STR,2.2L VGT Diesel Engine,2199 cc,197.2bhp@3800rpm,440nm@1750-2750rpm,Yes,Automatic,8 Speed,2WD
Kia,Carnival 2020-2023,Prestige,D2.2L VGT Diesel,2199 cc,197.26bhp@3800rpm,440Nm@1750-2750rpm,Yes,Automatic,8-Speed,2WD
Kia,Carnival 2020-2023,Prestige 6 STR,D2.2L VGT Diesel,2199 cc,197.26bhp@3800rpm,440nm@1750-2750rpm,Yes,Automatic,8-Speed,2WD
Kia,Carnival 2020-2023,Prestige 9 STR,2.2L VGT Diesel Engine,2199 cc,197.2bhp@3800rpm,440nm@1750-2750rpm,Yes,Automatic,8 Speed,2WD
Kia,EV6,GT Line,,,321bhp,605Nm,,Automatic,1-Speed,AWD
Kia,EV6 2022-2025,GT line,,,225.86bhp,350Nm,,Automatic,1-Speed,RWD
Kia,EV6 2022-2025,GT line AWD,,,320.55bhp,605Nm,,Automatic,1-Speed,AWD
Kia,EV9,GT Line,,,379bhp,700Nm,,Automatic,1-Speed,AWD
Kia,Seltos,GTX A Diesel AT,1.5l CRDi VGT,1493 cc,114bhp@4000rpm,250Nm@1500-2750rpm,Yes,Automatic,6-Speed,2WD
Kia,Seltos,GTX A TGDi DCT,Smartstream G1.5 T-GDi,1482 cc,158bhp@5500rpm,253Nm@1500-3500rpm,Yes,Automatic,7-Speed,2WD
Kia,Seltos,GTX A iVT,SmartStream G1.5,1497 cc,113bhp@6300rpm,144Nm@4500rpm,No,Automatic,6-Speed,2WD
Kia,Seltos,GTX Diesel AT,1.5l CRDi VGT,1493 cc,114bhp@4000rpm,250Nm@1500-2750rpm,Yes,Automatic,6-Speed,2WD
Kia,Seltos,GTX TGDi DCT,Smartstream G1.5 T-GDi,1482 cc,158bhp@5500rpm,253Nm@1500-3500rpm,Yes,Automatic,7-Speed,2WD
Kia,Seltos,GTX iVT,SmartStream G1.5,1497 cc,113bhp@6300rpm,144Nm@4500rpm,No,Automatic,6-Speed,2WD
Kia,Seltos,HTE,SmartStream G1.5,1497 cc,113bhp@6300rpm,144Nm@4500rpm,No,Manual,6-Speed,2WD
Kia,Seltos,HTE Opt,SmartStream G1.5,1497 cc,113bhp@6300rpm,144Nm@4500rpm,No,Manual,6-Speed,2WD
Kia,Seltos,HTE Diesel,1.5l CRDi VGT,1493 cc,114bhp@4000rpm,250Nm@1500-2750rpm,Yes,Manual,6-Speed,2WD
Kia,Seltos,HTE Opt Diesel,1.5l CRDi VGT,1493 cc,114bhp@4000rpm,250Nm@1500-2750rpm,Yes,Manual,6-Speed,2WD
Kia,Seltos,HTE Opt Diesel AT,1.5l CRDi VGT,1493 cc,114bhp@4000rpm,250Nm@1500-2750rpm,Yes,Automatic,6-Speed,2WD
Kia,Seltos,HTE Opt TGDi iMT,Smartstream G1.5 T-GDi,1482 cc,158bhp@5500rpm,253Nm@1500-3500rpm,Yes,Manual,6-Speed,2WD
Kia,Seltos,HTE Opt iVT,SmartStream G1.5,1497 cc,113bhp@6300rpm,114Nm@4500rpm,No,Automatic,6-Speed,2WD
Kia,Seltos,HTK,SmartStream G1.5,1497 cc,113bhp@6300rpm,144Nm@4500rpm,No,Manual,6-Speed,2WD
Kia,Seltos,HTK Diesel,1.5l CRDi VGT,1493 cc,114bhp@4000rpm,250Nm@1500-2750rpm,Yes,Manual,6-Speed,2WD
Kia,Seltos,HTK Diesel AT,1.5l CRDi VGT,1493 cc,114bhp@4000rpm,250Nm@1500-2750rpm,Yes,Automatic,6-Speed,2WD
Kia,Seltos,HTK Opt,SmartStream G1.5,1497 cc,113bhp@6300rpm,114Nm@4500rpm,No,Manual,6-Speed,2WD
Kia,Seltos,HTK Opt Diesel,1.5l CRDi VGT,1493 cc,114bhp@4000rpm,250Nm@1500-2750rpm,Yes,Manual,6-Speed,2WD
Kia,Seltos,HTK Opt Diesel AT,1.5l CRDi VGT,1493 cc,114bhp@4000rpm,250Nm@1500-2750rpm,Yes,Automatic,6-Speed,2WD
Kia,Seltos,HTK Opt TGDi DCT,Smartstream G1.5 T-GDi,1482 cc,158bhp@5500rpm,253Nm@1500-3500rpm,Yes,Automatic,7-Speed,2WD
Kia,Seltos,HTK Opt TGDi iMT,Smartstream G1.5 T-GDi,1482 cc,158bhp@5500rpm,253Nm@1500-3500rpm,Yes,Manual,6-Speed,2WD
Kia,Seltos,HTK Opt iVT,SmartStream G1.5,1497 cc,113bhp@6300rpm,144Nm@4500rpm,No,Automatic,6-Speed,2WD
Kia,Seltos,HTK TGDi iMT,Smartstream G1.5 T-GDi,1482 cc,158bhp@5500rpm,253Nm@1500-3500rpm,Yes,Manual,6-Speed,2WD
Kia,Seltos,HTK iVT,SmartStream G1.5,1497 cc,113bhp@6300rpm,114Nm@4500rpm,No,Automatic,6-Speed,2WD
Kia,Seltos,HTX,SmartStream G1.5,1497 cc,113bhp@6300rpm,144Nm@4500rpm,No,Manual,6-Speed,2WD
Kia,Seltos,HTX A,SmartStream G1.5,1497 cc,113bhp@6300rpm,144Nm@4500rpm,No,Manual,6-Speed,2WD
Kia,Seltos,HTX A Diesel,1.5l CRDi VGT,1493 cc,114bhp@4000rpm,250Nm@1500-2750rpm,Yes,Manual,6-Speed,2WD
Kia,Seltos,HTX A Diesel AT,1.5l CRDi VGT,1493 cc,114bhp@4000rpm,250Nm@1500-2750rpm,Yes,Automatic,6-Speed,2WD
