Brand,Model,Variant,Engine Type,Displacement,Max Power,Max Torque,Turbo Charger,Transmission Type,Gearbox,Drive Type
Hyundai,Alcazar 2021-2024,Signature 7-Seater Diesel AT,1.5 l diesel CRDi engine,1493 cc,113.42bhp@4000rpm,250nm@1500-2750rpm,Yes,Automatic,6-speed,
Hyundai,Alcazar 2021-2024,Signature Diesel,1.5 l diesel CRDi engine,1493 cc,113.98bhp@4000rpm,250Nm@1500-2750rpm,Yes,Manual,6-Speed,FWD
Hyundai,Alcazar 2021-2024,Signature Diesel AT,1.5 l diesel CRDi engine,1493 cc,113.42bhp@4000rpm,250nm@1500-2750rpm,Yes,Automatic,6-speed,
Hyundai,Alcazar 2021-2024,Signature Diesel BSVI,1.5 l diesel CRDi engine,1493 cc,113.98bhp@4000rpm,250Nm@1500-2750rpm,Yes,Manual,6-speed,
Hyundai,Alcazar 2021-2024,Signature Dual Tone,2.0 l petrol MPi engine,1999 cc,156.9bhp@6500rpm,191nm@4500rpm,No,Manual,6-speed,
Hyundai,Alcazar 2021-2024,Signature Dual Tone AT,2.0 l petrol MPi engine,1999 cc,156.9bhp@6500rpm,191nm@4500rpm,No,Automatic,6-speed,
Hyundai,Alcazar 2021-2024,Signature Dual Tone Diesel,1.5 l diesel CRDi engine,1493 cc,113.98bhp@4000rpm,250Nm@1500-2750rpm,Yes,Manual,6-Speed,FWD
Hyundai,Alcazar 2021-2024,Signature Dual Tone Diesel AT,1.5 l diesel CRDi engine,1493 cc,113.42bhp@4000rpm,250nm@1500-2750rpm,Yes,Automatic,6-speed,
Hyundai,Alcazar 2021-2024,Signature Dual Tone Diesel BSVI,1.5 l diesel CRDi engine,1493 cc,113.98bhp@4000rpm,250Nm@1500-2750rpm,Yes,Manual,6-speed,
Hyundai,Aura,E,1.2 L Kappa petrol,1197 cc,82bhp@6000rpm,113.8Nm@4000rpm,,Manual,5-Speed,FWD
Hyundai,Aura,E CNG,1.2 L Bi-Fuel,1197 cc,68bhp@6000rpm,95.2Nm@4000rpm,,Manual,5-Speed,FWD
Hyundai,Aura,S,1.2 L Kappa petrol,1197 cc,82bhp@6000rpm,113.8Nm@4000rpm,,Manual,5-Speed,FWD
Hyundai,Aura,SX,1.2 L Kappa petrol,1197 cc,82bhp@6000rpm,113.8Nm@4000rpm,,Manual,5-Speed,FWD
Hyundai,Aura,SX CNG,1.2 L Bi-Fuel,1197 cc,68bhp@6000rpm,95.2Nm@4000rpm,,Manual,5-Speed,FWD
Hyundai,Aura,SX Option,1.2 L Kappa petrol,1197 cc,82bhp@6000rpm,113.8Nm@4000rpm,,Manual,5-Speed,FWD
Hyundai,Aura,SX Plus AMT,1.2 L Kappa petrol,1197 cc,82bhp@6000rpm,113.8Nm@4000rpm,,Automatic,5-Speed AMT,FWD
Hyundai,Aura,S AMT,1.2 L Kappa petrol,1197 cc,82bhp@6000rpm,113.8Nm@4000rpm,,Automatic,5-Speed,FWD
